,sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,detection_history.o4,year,FID_allNY_,FID_allNY_10km
303,3,458283,4654783,0,0,1,NA,2014,9488,9489
304,4,234868,4659186,0,0,0,NA,2014,579,580
305,5,240906,4658779,0,1,0,NA,2014,7341,7342
306,6,243391,4659556,0,0,0,NA,2014,12936,12937
307,7,451781,4658948,0,0,0,NA,2014,5326,5327
308,8,456025,4659255,0,0,0,NA,2014,1805,1806
309,9,460328,4658569,0,0,0,NA,2014,2432,2433
310,10,463533,4659508,0,1,1,NA,2014,4760,4761
311,11,225064,4664630,0,0,0,NA,2014,11642,11643
312,12,227416,4664663,1,0,0,NA,2014,8784,8785
313,13,231289,4662867,0,0,0,NA,2014,9135,9136
314,14,234556,4664434,0,0,0,NA,2014,9683,9684
315,15,459204,4663088,0,0,0,NA,2014,5021,5022
316,16,463436,4664539,0,0,1,NA,2014,3527,3528
317,17,222354,4668171,0,0,0,NA,2014,12530,12531
318,18,227200,4666404,0,0,0,NA,2014,8784,8785
319,19,308730,4667375,0,0,0,NA,2014,1407,1408
320,20,303633,4667212,0,0,0,NA,2014,7165,7166
321,21,112509,4669616,0,0,0,NA,2014,4343,4344
322,22,115599,4671082,0,0,0,NA,2014,7310,7311
323,23,118828,4671274,0,0,0,NA,2014,8300,8301
324,24,124428,4670598,0,0,0,NA,2014,8593,8594
325,25,223608,4671708,0,0,0,NA,2014,11665,11666
326,26,227678,4671789,0,0,1,NA,2014,7356,7357
327,27,247011,4672344,1,NA,0,NA,2014,5075,5076
328,28,249286,4671213,0,0,0,NA,2014,10866,10867
329,29,308935,4671569,0,0,0,NA,2014,7320,7321
330,30,305008,4671460,0,0,0,NA,2014,9132,9133
331,31,351402,4675320,0,0,0,NA,2014,368,369
332,32,469264,4669658,0,0,0,NA,2014,7317,7318
333,33,473368,4671309,0,0,0,NA,2014,7864,7865
908,34,474007,4670880,0,0,0,NA,2014,7864,7865
334,35,111877,4673249,0,0,0,NA,2014,10308,10309
335,36,115351,4673371,0,0,0,NA,2014,9335,9336
336,37,119309,4675804,0,0,0,NA,2014,1074,1075
337,38,123428,4675681,0,0,0,NA,2014,1499,1500
338,39,140085,4675037,0,0,0,NA,2014,12774,12775
339,40,143408,4674529,0,0,0,NA,2014,1451,1452
340,41,146650,4674861,0,0,0,NA,2014,4303,4304
341,42,226656,4676400,0,0,0,NA,2014,5534,5535
342,43,246306,4675398,0,0,0,NA,2014,11445,11446
343,44,297181,4674817,0,0,0,NA,2014,11951,11952
344,45,301518,4674064,0,0,0,NA,2014,4133,4134
345,46,303568,4674198,0,0,1,NA,2014,3203,3204
346,47,311978,4674238,0,0,0,NA,2014,7947,7948
347,48,317606,4673745,0,0,0,NA,2014,2394,2395
348,49,324879,4675137,0,0,0,NA,2014,6838,6839
