FID,Station,o1,o2,o3,o4,o5,year,utm_x,utm_y,FID_allNY_,FID_allNY_10km
318,9Cat5,0,0,0,0,0,2017,194724.412,4684058.024,3280,3281
255,9Cat6,1,0,0,0,0,2017,191715.09,4681190.79,3705,3706
335,9Cat7,0,0,0,0,0,2017,192092.768,4684880.63,11808,11809
430,9D1,0,0,0,0,0,2017,174776,4694629,434,435
469,9D11,0,0,0,0,0,2017,163889.612,4697662.638,3908,3909
458,9D12,0,0,0,0,0,2017,164346.323,4696392.826,3908,3909
513,9D2,0,0,0,0,0,2017,169447,4701651,324,325
424,9D3,0,0,0,0,0,2017,161935,4694027,8342,8343
480,9D4,0,0,0,0,0,2017,175291,4698345,4010,4011
415,9D5,0,0,0,0,0,2017,166172,4693488,1428,1429
485,9D6,0,0,0,0,0,2017,165245,4698951,1585,1586
473,9D7,0,0,0,0,0,2017,170014,4698084,10737,10738
506,9D8,0,0,0,0,0,2017,165555,4701347,11141,11142
464,9D9,0,0,0,0,0,2017,161040,4697484,9404,9405
154,3A1,1,1,0,0,0,2018,526315.391,4655376.604,1577,1578
103,3A11,1,1,1,1,1,2018,526065,4646831,7669,7670
98,3A13,1,1,0,1,1,2018,526088,4644918,7669,7670
118,3A2,1,1,1,1,1,2018,528898.73,4650973.176,9812,9813
136,3A3,1,1,1,1,1,2018,533195.467,4652933.944,1418,1419
123,3A4,1,1,1,1,1,2018,532458.45,4651179.556,11456,11457
122,3A5,1,1,1,1,1,2018,531216.523,4651149.551,11456,11457
119,3A6,1,1,1,1,1,2018,523598.764,4651097.891,8420,8421
93,3A7,NA,1,1,1,1,2018,524535.229,4643682.052,1613,1614
96,3A8,0,1,0,1,1,2018,530250.834,4644587.887,2495,2496
108,3A9,1,1,1,1,1,2018,535289.112,4648100.845,488,489
71,3B1,1,1,0,0,1,2018,548452.803,4637138.48,5837,5838
68,3B10,1,0,0,1,1,2018,552740,4637022,8676,8677
73,3B11,1,0,0,0,1,2018,550140,4638349,4019,4020
81,3B12,1,1,1,1,1,2018,547591,4640922,12389,12390
105,3B13,1,1,1,1,0,2018,546816,4647215,10317,10318
79,3B2,0,0,1,1,1,2018,545694.242,4640333.509,12389,12390
87,3B3,1,1,1,1,NA,2018,540790.116,4642266.731,4496,4497
101,3B4,1,1,0,1,1,2018,545736.884,4646590.486,10317,10318
82,3B5,0,1,0,0,0,2018,549666.932,4641498.232,1795,1796
74,3B6,1,1,1,0,1,2018,552507.185,4638661.737,11679,11680
90,3B7,1,0,1,1,1,2018,555707.87,4643072.729,1493,1494
109,3B8,0,1,0,NA,NA,2018,543071.624,4648853.323,5520,5521
64,3B9,1,1,1,NA,1,2018,548641.741,4633769.943,9982,9983
48,3C1,0,0,1,1,0,2018,522509.47,4602456.046,12556,12557
26,3C10,1,1,1,1,1,2018,516938,4597663,8248,8249
41,3C11,1,1,1,0,0,2018,517918,4600722,10899,10900
18,3C13,1,0,1,NA,0,2018,522888,4595940,11060,11061
7,3C15,1,1,1,1,1,2018,523672,4593435,5844,5845
33,3C2,1,1,0,1,0,2018,526685.494,4600419.737,7673,7674
2,3C3,0,1,1,1,0,2018,521132.862,4588559.883,11861,11862
14,3C4,1,1,1,1,0,2018,510181.282,4595105.16,8343,8344
21,3C5,1,0,1,0,0,2018,529286.575,4596510.768,12864,12865
24,3C6,0,1,0,0,0,2018,519941.385,4596543.265,11060,11061
